true_param,sample_size,mean,bias,mse,coverage_probability
0.125,25,0.14749718776777992,0.02249718776777992,0.012181709896425346,0.7
0.125,50,0.18254671687626223,0.057546716876262206,0.013075155313533062,0.3
0.125,100,0.1525395423685934,0.027539542368593396,0.005728891331440058,0.2
0.125,200,0.11748126765185973,-0.007518732348140267,0.0020042508881644014,0.4
0.125,400,0.13498420282127593,0.009984202821275951,0.0009182841913892072,0.3
0.6,25,0.6315094617572908,0.031509461757290906,0.08275374056245732,0.1
0.6,50,0.6139658390070577,0.013965839007057824,0.02029552471147563,0.1
0.6,100,0.6247336994206193,0.024733699420619253,0.00912010747915136,0.1
0.6,200,0.6159867113653686,0.015986711365368722,0.005643275749208096,0.1
0.6,400,0.594346701432607,-0.005653298567392962,0.0022431254092211703,0.1
1.0,25,1.1120608296544243,0.11206082965442428,0.23066905446736458,0.4
1.0,50,1.0117880515849345,0.011788051584934612,0.024264015986305613,0.4
1.0,100,1.0363787275637704,0.03637872756377036,0.013489605032073287,0.1
1.0,200,1.057114237045044,0.05711423704504413,0.017657577003650737,0.3
1.0,400,1.0210153510910007,0.021015351091000757,0.004398527780446896,0.0
